5.9e-03 & 2.1e-02 & 2.2e-01 \\
1.7e-02 & 1.0e-01 & 1.1e-01 \\
3.3e-02 & 9.0e-02 & 7.9e-01 \\
5.2e-02 & 3.8e-02 & 8.7e-01 \\
7.2e-02 & 2.6e-01 & 8.2e-02 \\
